Name,Deaths,Date
Camp Fire (Paradise),85,November 2018
Griffith Park,29,October 1933
Tunnel (Oakland Hills),25,October 1991
Tubbs,22,October 2017
North Complex,15,August 2020
Cedar,15,October 2003
Rattlesnake,15,July 1953
Loop,12,November 1966
Hauser Creek,11,October 1943
Inaja,11,November 1956
Iron Alps Complex,10,August 2008
Redwood Valley,9,October 2017
Harris,8,October 2007
Canyon,8,August 1968
Carr,7,July 2018
LNU Lightning Complex,6,August 2020
Atlas,6,October 2017
Old,6,October 2003
Decker,6,August 1959
Hacienda,6,September 1955
