Name,Destroyed,Date,Counties
Camp Fire (Paradise),"18,804",Nov-18,Butte
Tubbs,"5,636",Oct-17,"Napa, Sonoma"
Cedar,"3,021",Oct-03,San Diego
North Complex,"2,352",Aug-20,"Butte, Plumas, Yuba"
Valley,"1,958",Sep-15,"Lake, Napa, Sonoma"
Witch,"1,650",Oct-07,San Diego
Woolsey,"1,643",Nov-18,Ventura
Carr,"1,614",Jul-18,"Shasta, Trinity"
Glass,"1,528",Sep-20,"Napa, Sonoma"
LNU Lightning Complex,"1,491",Aug-20,"Napa, Sonoma, Yolo, Stanislaus, Lake"
CZU Lightning Complex,"1,490",Aug-20,"Santa Cruz, San Mateo"
Nun,"1,355",Oct-17,Sonoma
Dixie,"1,311",Jul-21,"Butte, Plumas, Lassen, Shasta, Tehama"
Thomas,"1,063",Dec-17,"Ventura, Santa Barbara"
Caldor,"1,005",Aug-21,"Alpine, Amador, El Dorado"
Old,"1,003",Oct-03,San Bernardino
Butte,965,Sep-15,"Amador, Calaveras"
Jones,954,Oct-99,Shasta
August Complex,935,Aug-20,"Mendocino, Humboldt, Trinity, Tehama, Glenn, Lake, Colusa"
