Year,Acres Burned
1987,"873,000"
1988,"345,000"
1989,"1,734,000"
1990,"365,200"
1991,"44,200"
1992,"282,745"
1993,"309,779"
1994,"526,219"
1995,"209,815"
1996,"752,372"
1997,"283,885"
1998,"215,412"
1999,"1,172,850"
2000,"295,026"
2001,"377,340"
2002,"538,216"
2003,"965,770"
2004,"311,024"
2005,"279,214"
2006,"863,345"
2007,"1,520,362"
2008,"1,593,690"
2009,"451,969"
2010,"134,462"
2011,"228,599"
2012,"829,224"
2013,"601,635"
2014,"625,540"
2015,"880,899"
2016,"669,534"
2017,"1,548,429"
2018,"1,975,086"
2019,"277,285"
2020,"4,304,379"
2021,"2,569,386"
2022,"331,358"
2023,"388,374"
2024,"1,050,846"
2025,"57,841.61"
